cell_id,elephant_count,inside_protected_area,dist_to_settlement_km,dist_to_road_km,elephant_score,settlement_proximity_score,road_proximity_score,conflict_risk_score,priority_zone,nearest_settlement
843,14.0,False,17.96537281507492,6.595252321850767,0.0748663101604278,0.9002716703920962,0.9596133780571217,0.5879120385989365,True,Voi
844,5.0,False,26.482830271136862,1.273675308575444,0.026737967914438502,0.8473267827002918,0.9923063467352662,0.5625851259964427,True,Voi
845,1.0,True,36.41903318259632,4.047901704699901,0.0053475935828877,0.7855629112698814,0.9752629597001219,0.5303867987241561,False,Voi
846,2.0,True,45.204526476062455,9.369478717975245,0.0106951871657754,0.7309519011017453,0.9425699910219772,0.506334642503427,False,Mtito Andei
847,1.0,True,37.48083687313082,14.69105573125059,0.0053475935828877,0.7789626931371707,0.9098770223438326,0.5087909520774561,False,Mtito Andei
848,2.0,True,31.82133013397541,20.01263274452596,0.0106951871657754,0.8141424343030436,0.8771840536656879,0.5116760212569296,False,Mtito Andei
849,0.0,True,29.44148383286177,25.334209757801307,0.0,0.8289356628910587,0.8444910849875431,0.5020280243635805,False,Mtito Andei
850,0.0,True,31.103454616261974,30.65578677107665,0.0,0.8186047798865819,0.8117981163093986,0.48912086885879413,False,Mtito Andei
851,0.0,True,36.25560381308074,36.25560381308074,0.0,0.7865787953713497,0.7773957873191617,0.46919237480715337,False,Mtito Andei
852,0.0,True,43.679889269963574,43.679889269963574,0.0,0.7404291125893356,0.7317848845183613,0.44166419913230903,False,Mtito Andei
853,0.0,True,52.419620805777264,52.419620805777264,0.0,0.6861025595061909,0.6780925732649554,0.40925853983134386,False,Mtito Andei
854,1.0,True,61.92027587314736,61.619852742044884,0.0053475935828877,0.6270460725046052,0.6215711898904928,0.37672421615168444,False,Mtito Andei
855,2.0,True,71.88076573737841,70.82021700485622,0.0106951871657754,0.5651312323146205,0.5650489935713827,0.3433321426321111,False,Mtito Andei
856,0.0,False,82.13396618803377,80.02058126766757,0.0,0.5013968903303055,0.5085267972522727,0.3029771062747735,False,Mtito Andei
857,0.0,False,92.58267829654893,89.22094553047891,0.0,0.43644723933843466,0.4520046009331625,0.26653555208147917,False,Mtito Andei
858,0.0,False,103.16751542684091,98.42130979329019,0.0,0.37065142926362193,0.3954824046140528,0.2298401501633024,False,Mtito Andei
859,0.0,False,113.85051672316933,107.6216740561016,0.0,0.30424542644373587,0.33896020829494233,0.19296169042160344,False,Mtito Andei
860,0.0,False,124.60643673951137,116.82203831891292,0.0,0.23738615767427906,0.2824380119758324,0.15594725089503342,False,Mtito Andei
861,0.0,False,105.62215882559231,133.16793360520418,0.0,0.35539325864865423,0.18201743339962562,0.16122320761448394,False,Meru
862,0.0,False,99.71211808884533,125.57694565271628,0.0,0.39213033008989273,0.22865246860587451,0.18623483960873016,False,Meru
863,0.0,False,94.73854839794038,118.54054166507889,0.0,0.4230462565938654,0.2718804317830934,0.20847800651308762,False,Meru
864,0.0,False,90.85537194538405,112.16314348766932,0.0,0.4471842510867796,0.3110598100655064,0.2274732183456858,False,Meru
865,2.0,False,88.20671556134072,106.56313384947293,0.0106951871657754,0.4636484148951412,0.34546332226539445,0.2470115960144708,False,Meru
866,0.0,False,86.90552760845797,101.86879912223307,0.0,0.4717366560617907,0.37430284442574746,0.25381185014626145,False,Meru
867,0.0,False,87.01227952243084,98.17987039235076,0.0,0.47107308150032856,0.39696568123541753,0.26041162882072383,False,Meru
868,0.0,False,88.52187778439269,94.81683374727636,0.0,0.46168935274657597,0.4176264085774426,0.2637947283972055,False,Meru
869,0.0,False,91.36481218313828,91.45379710220121,0.0,0.44401754831042606,0.4382871359194722,0.2646914052689695,False,Meru
870,0.0,False,88.11192406958888,88.11192406958888,0.0,0.4642376429495024,0.4588178451639272,0.27691664643402886,False,Archer's Post
871,0.0,False,85.64619864319828,85.64619864319828,0.0,0.4795646999324715,0.4739659645903297,0.2860591993568403,False,Archer's Post
872,0.0,False,84.57689708670658,84.57689708670658,0.0,0.48621152512756916,0.4805351906311566,0.29002401472761774,False,Archer's Post
873,0.0,False,84.95676370719717,84.95676370719717,0.0,0.4838502576174596,0.4782014900204934,0.2886155242913859,False,Archer's Post
874,0.0,False,132.8240260424051,132.8240260424051,0.0,0.18630526352441357,0.18413022048336392,0.11113064520233323,False,Voi
875,0.0,False,121.72652781090363,121.72652781090363,0.0,0.2552877974035439,0.2523074095352499,0.15227856208163815,False,Voi
876,0.0,False,110.6295315532157,110.6295315532157,0.0,0.3242672109915169,0.3204815147241902,0.19342461771471212,False,Voi
877,0.0,False,99.53320516525719,99.53320516525719,0.0,0.3932424606399838,0.38865150458603326,0.23456818956780512,False,Voi
878,0.0,False,88.43780079385968,88.43780079385968,0.0,0.46221197899322264,0.4568158300633388,0.2757083427169684,False,Voi
879,0.0,False,77.34371524590497,77.34371524590497,0.0,0.5311732994823191,0.5249720533834454,0.3168436058597293,False,Voi
880,0.0,False,66.25161105078764,66.25161105078764,0.0,0.6001223037956092,0.5931161043144104,0.35797152243300584,False,Voi
881,0.0,True,55.162683451859664,55.162683451859664,0.0,0.6690515622481941,0.6612406399100786,0.3990876606474818,False,Voi
882,0.0,False,44.079329899572016,44.079329899572016,0.0,0.7379461721833216,0.7293309314965428,0.44018313110395935,False,Voi
883,0.0,False,33.00716593681619,33.00716593681619,0.0,0.8067712271410235,0.797352480133469,0.4812371121823477,False,Voi
884,0.0,False,21.9631209523086,21.9631209523086,0.0,0.8754214933013592,0.8652012805657114,0.5221868321601212,True,Voi
885,0.0,False,11.031969939723018,11.031969939723018,0.0,0.9433700055996622,0.932356519845162,0.5627179576334473,True,Voi
886,7.0,False,2.7294760552472046,2.175637514213829,0.0374331550802139,0.9949786703382945,0.9867651656033866,0.6094964128145899,True,Voi
887,16.0,True,11.815909542704773,3.145939499061543,0.0855614973262032,0.9384970027756226,0.9808041408320014,0.6100149420127685,False,Voi
888,12.0,True,22.764037363934182,8.467516512336866,0.06417112299465241,0.8704429618930386,0.9481111721538569,0.5712346894119296,False,Voi
889,2.0,True,33.81134537240127,13.789093525612211,0.0106951871657754,0.8017724126332024,0.9154182034757122,0.5194352596989845,False,Voi
890,2.0,True,44.88466057214879,19.11067053888755,0.0106951871657754,0.7329402015360603,0.8827252347975676,0.48897770576639854,False,Voi
